ID_Objetivo;Texto_Objetivo;ID_Objetivo_Prerrequisito;Texto_Prerrequisito;Importancia
ICA_3240-3;Reconocer los componentes más importantes en el crecimiento de  microorganismos, como son los factores ambientales, diseño de un medio de  cultivo, etc.;ICA_7000-1;Ser capaz de aplicar balances de materia y energía sobre diagramas de  procesos considerando reciclos de materia, conversión por reacciones  químicas, recuperación del calor de procesos contiguos.;Ninguna
ICC_5150-1;Describir las responsabilidades que cumple un director de proyectos en  el contexto de la ejecución de un proyecto de software.;ING_1102-4;Reconocer los tipos de reacciones químicas que se llevan a cabo en medio acuoso  y que son fundamentales para variados procesos biológicos.;Ninguna
ICE_3204-5;Comprender y aplicar el concepto de Sistema en un Chip Programable  (PSoC),como fusión de Microprocesador con FPGA;ICE_3101-1;Conocer los elementos básicos de circuitos eléctricos, así como las  relaciones voltaje-corriente en cada uno de ellos.;Alta
ICE_4203-9;Comprende los desafíos operacionales a nivel estático, siendo capaces  de proponer estrategias para la operación segura del Sistema.;ICE_3204-5;Comprender y aplicar el concepto de Sistema en un Chip Programable  (PSoC),como fusión de Microprocesador con FPGA;Ninguna
ICA_5150-1;Antecedentes del desarrollo de las obras civiles en Chile.;IOC_5207-3;Aplicar normas y criterios para el diseño geométrico y estructural de  caminos.;Ninguna
ICA_7000-4;Comprender los principales costos asociados a procesos de manufactura.;ING_2201-1;Comprender los conceptos básicos de la teoría de probabilidades y desarrollar  las técnicas fundamentales para el cálculo de probabilidades.;Ninguna
ICI_4220-6;Formular y resolver problemas de requerimiento de materiales en una organización.;ICI_3202-3;Implementar computacionalmente las metodologías diseñadas para resolver los  modelos en entornos reales.;Media
ICI_3204-4;Entender el proceso de toma de decisión de las empresas en mercados de  competencia perfecta e imperfecta.;ING_1100-2;Comprender los conceptos de campo real ordenado y de funciones reales.;Ninguna
ING_2201-2;Identificar fenómenos de carácter aleatorio en procesos propios de la  ingeniería y utilizar métodos formales adecuados para su tratamiento.;ING_2102-1;Reconocer las extensiones de los contenidos del Cálculo Diferencial e integral de  funciones de una variable a funciones de varias variables.;Alta
ING_2204-1;Aplica el concepto de fuerza y sistemas de fuerzas en problemas de  álgebra vectorial.;ING_1203-9;Formular y aplicar las leyes de Newton.;Media
IOC_5105-3;Diseñar conceptualmente y analizar redes de agua potable y aguas  servidas o residuales;IOC_4203-5;Describir y selecciona instrumentos de medición y utilizar las medidas recogidas  por éstos. Evaluar recursos hídricos mediante balances hídricos.;Baja
ICI_5110-1;Entender y analizar las interacciones entre empresas que compiten en mercados  oligopólicos.;ICI_3204-4;Entender el proceso de toma de decisión de las empresas en mercados de  competencia perfecta e imperfecta.;Alta
IOC_4207-4;Evaluar económicamente la conveniencia de realizar cambios en un sistema de  transporte.;IOC_3203-2;Apply analytical solutions to known simple fluid flows by solving fundamental fluid  mechanics problems.;Ninguna
ICI_3201-1;Identificar las componentes estocásticas que se presenten en sistemas de  ingeniería y procesos de negocio. Analizar de sistemas de ingeniería y procesos de  negocio que operan bajo condiciones de incertidumbre mediante la formulación y  uso de modelos estocásticos.;ICI_6100-3;Entender las claves para administrar grandes cantidades de datos dentro de una  organización.;Ninguna
ING_2204-3;Resuelve problemas de equilibrio de una partícula y de sólidos rígidos  sometidos a la acción de sistemas de fuerzas.;ING_1202-1;Resolver problemas referentes a continuidad de funciones reales, cálculo  diferencial e integral, series numéricas y series de funciones.;Alta
IOC_6101-1;Aplicar herramientas avanzadas de gestión, administración y control a proyectos  complejos de ingeniería civil.;IOC_5104-2;- Obtener herramientas de estimación de costos y precios unitarios, siendo capaz de realizar análisis de valor presente, análisis costo-beneficio y otros para evaluación de proyectos de construcción.;Alta
IOC_5106-5;"Identify “strategic situations” in economic activity and be able to analyze and predict  the outcomes of “strategic situations”;";IOC_4103-2;Analizar y calcular el transporte de fluidos incompresibles (tuberías y  canales abiertos) en régimenpermanente;Ninguna
ICE_4202-3;Comprender el papel de la realimentación como herramienta para  modificar el comportamiento de los sistemas de tiempo continuo y  discreto.;ING_2103-7;Analizar sistemas sencillos que experimentan oscilaciones a través de una  ecuación diferencial.;Alta
IOC_5106-2;"Explain the nature and role of theory and models in economic analysis; to  understand how Chilean market develop economic tools to solve day by day  problems;";IOC_5100-3;Apply concepts of structural dynamics to the design objectives in the current seismic  codes.;Ninguna
ICE_3102-1;Entender los principios del análisis de las señales y los sistemas.;ING_2101-2;Identificar y clasificar los diversos tipos de ecuaciones diferenciales permitiendo  determinar qué método de resolución se adecua de mejor manera a cada ecuación.;Media
IOC_5106-6;"Identify the main characteristics of different market types; regarding civil works,  describe the nature of competitive behaviour in these markets, analyse and predict  price and output outcomes in the different markets;";ING_2104-5;Identificar problemas de ingeniería para ser resueltos con teoría económica. Definir  los conceptos básicos de micro y macroeconomía que les servirá como base para  cursos intermedios de economía y como parte de su formación profesional.;Alta
IOC_3101-1;Definir el estado de tensiones y deformaciones unitarias, casos plano y  tridimensional.;ING_6103-7;Elaboración de un informe técnico;Ninguna
IOC_4207-2;Representar y estimar la demanda por transporte y explicar los supuestos que  subyacen a sus modelos.;ING_2201-1;Comprender los conceptos básicos de la teoría de probabilidades y desarrollar  las técnicas fundamentales para el cálculo de probabilidades.;Alta
ING_1201-3;Desarrollar la capacidad de abstracción de manera de entender como el cálculo de  valores y vectores propios de una matriz resuelve varios problemas lineales y se  relacionan, matemáticamente, con la solución de estos problemas tanto  matemáticos como de otras ciencias.;ING_1103-2;Diseñar algoritmos que solucionen problemas, definiendo la secuencia de pasos  necesaria para resol- verlos, considerando el control de errores, pasos  condicionales y repetición de pasos.;Media
ICE_5104-3;Predecir el comportamiento de los sistemas reales.;ICE_4202-2;Utilizar la modelación matemática para conocer el desempeño de  sistemas lineales en tiempo continuo y discreto.;Alta
ICA_4230-5;Diseñar y ejecutar con éxito, a nivel de laboratorio una experiencia de cultivo  microbiano operado en la modalidad de cultivo continuo o cultivo por lotes  alimentados, siendo capaz de comparar los resultados experimentales con un  modelo de la operación del reactor.;ING_2201-3;Reconocer los distintos tipos de problemas inferenciales y aplicar los métodos  estadísticos básicos más usados en el ámbito de la ingeniería.;Ninguna
ICE_4203-6;Entiende el concepto de flujo de potencia y resuelve problemas  mediante métodos iterativos.;ICE_4104-4;Conocer la aplicación de las máquinas en centrales generadores, líneas  de transmisióny líneas de distribución de energía eléctrica.;Media
ICI_5110-4;Identificar carteles y colusiones, y estimar los perjuicios producidos a la sociedad.;ICI_3000-5;Modelar el funcionamiento y evaluar la efectividad de las soluciones  propuestas.;Ninguna
ICE_4204-5;Comprende la importancia del error en las comunicaciones y analizar sus  técnicas de corrección mediante FEC y códigos convolucionales.;ICE_4102-3;Comprender los efectos que produce el ambiente, el ruido y el tipo de  modulación enuna comunicación y cómo estos pueden ser analizados y  mitigados al elegir un sistemade comunicaciones.;Media
IOC_5206-1;Aplicar conceptos y conocimientos básicos de administración y control de  proyectos en casos prácticos de ingeniería civil;IOC_5106-5;"Identify “strategic situations” in economic activity and be able to analyze and predict  the outcomes of “strategic situations”;";Media
ICA_3102-7;Explicar el funcionamiento de las diversas máquinas que componen las centrales  de potencia en base a ciclos termodinámicos.;ICA_4210-1;"Desarrollar diseños de procesos utilizando una metodología estructurada;";Ninguna
ICI_4120-2;Desarrollar, estimar e interpretar modelos financieros a partir de la teoría financiera  clásica bajo condiciones de certidumbre para la valoración de activos financieros  tales como bonos y acciones.;ICC_5202-1;Describe the work of the Software Architect throughout a software  development project.;Ninguna
ICI_3202-4;Analizar los resultados obtenidos y entender cómo implementar y transmitir estos  resultados ante un mandante en un contexto aplicado a la industria.;ICI_3101-1;Introducir al alumno en el campo de la optimización lineal y su uso en la  modelación y resolución de problemas reales.;Alta
ICA_3220-3;Entender de los fenómenos de conducción, convección y radiación de  calor, y su aplicación en sistemas de intercambiadores de calor.;IOC_3020-1;Conocer los modelos y relacionar variables que describen el tráfico.;Ninguna
ICI_3201-1;Identificar las componentes estocásticas que se presenten en sistemas de  ingeniería y procesos de negocio. Analizar de sistemas de ingeniería y procesos de  negocio que operan bajo condiciones de incertidumbre mediante la formulación y  uso de modelos estocásticos.;ICI_3101-1;Introducir al alumno en el campo de la optimización lineal y su uso en la  modelación y resolución de problemas reales.;Baja
ICE_5104-2;Analizarlos principios de operación de los diferentes  convertidores:modelo promedio, técnicas de conmutación, sistemas de  control,balance de volt-segundo y de carga de condensadores.;ICE_4202-1;Reconocer la importancia del control automático en diversos sistemas, en  particular el control de sistemas lineales.;Alta
ICI_3201-3;Extrapolar sus conocimientos a este respecto a otros entornos y problemas de  ingeniería, a modo de cuantificar, manejar y proponer esquemas que permitan obtener un mejor desempeño económico (costo o beneficio) ante la presencia de  fenómenos estocásticos.;ING_2201-2;Identificar fenómenos de carácter aleatorio en procesos propios de la  ingeniería y utilizar métodos formales adecuados para su tratamiento.;Alta
ICI_3204-4;Entender el proceso de toma de decisión de las empresas en mercados de  competencia perfecta e imperfecta.;ICI_4230-4;Entender las implicancias de las distintas políticas de dividendos y elegir entre  distintas alternativas.;Ninguna
ICI_3201-2;Proponer diseños de ingeniería y rediseños de procesos de negocio, y evaluar  consecuencias de diferentes configuraciones de éstos en entornos que presenten  una componente o variable estocástica.;ING_2201-2;Identificar fenómenos de carácter aleatorio en procesos propios de la  ingeniería y utilizar métodos formales adecuados para su tratamiento.;Alta
ING_2203-5;Desarrollar de forma completa informes de laboratorio según las experiencias  realizadas..;ING_6103-6;Capacidad de análisis y síntesis;Ninguna
ICI_5110-5;Ser capaz de proveer recomendaciones a la regulación actual de mercados  oligopólicos, tales como: financiero, seguros, salud, educación,  telecomunicaciones, energía, etc.;ICI_3204-4;Entender el proceso de toma de decisión de las empresas en mercados de  competencia perfecta e imperfecta.;Alta
ICI_4220-2;Formular modelos de pronóstico (para una serie estacionaria) y modelos de  regresión lineal simple para la planificación de la demanda en una empresa, y  evaluar sus errores a través de métricas MAD, RMSE o MAPE.;ICI_4110-3;Será capaz de analizar, evaluar y criticar estudios empíricos de economía  y otras ciencias afines.;Baja
ICI_4230-3;Analizar las distintas fuentes de financiamiento de las empresas, calculando sus  costos y beneficios.;ING_1203-3;Verificar experimentalmente la teoría.;Ninguna
IOC_5205-3;Comprender la influencia de los aspectos sísmicos en el diseño de  elementos de hormigón armado.;IOC_4101-1;Identificar las limitaciones del diseño estructural, las implicancias del diseño en el  proceso constructivo, y el rol del acero y del hormigón en los elementos de  hormigón armado.;Media
ICC_5120-3;Design storyboards, and low and high-fidelity interface prototypes.;ICC_5130-3;Implementar diferentes estrategias para mejorar la calidad de un producto de  software, especialmente la metodología de tests unitarios, diseñando software  testeable desde un comienzo.;Ninguna
ICI_4220-6;Formular y resolver problemas de requerimiento de materiales en una organización.;ICI_3202-2;Aplicar metodologías que permiten resolver cuantitativamente estos modelos, con  un foco en problemas reales en la industria.;Media
IOC_6101-1;Aplicar herramientas avanzadas de gestión, administración y control a proyectos  complejos de ingeniería civil.;IOC_5206-4;Utilizar la metodología BIM en la administración y control de proyectos,  ayudándosede software técnico especializado (Revit o similar).;Alta
IOC_3203-4;Apply models to simple fluid mechanics problems, considering their  limitations and strengths.;IOC_3203-2;Apply analytical solutions to known simple fluid flows by solving fundamental fluid  mechanics problems.;Ninguna
IOC_3220-2;Utilizar equipos topográficos y GPS.;IOC_3101-3;Definir y calcular las tensiones y deformaciones unitarias en elementos simples  (barras axialmente cargadas, vigas sometidas a flexión y ejes en torsión).;Ninguna
IOC_5100-1;Formulate, derive and solve equations of dynamic equilibrium of simple  structural systems subjected to different types of external excitation.;IOC_3201-3;Aplica y reconoce el principio de trabajos virtuales para determinar fuerzas externas, desplazamientos, reacciones o esfuerzos internos en estructuras sujetas a carga  externas, gradientes de temperatura, asentamientos o errores de fabricación. Aplica el principio para determinar la línea de influencia de vigas;Media
IOC_5105-3;Diseñar conceptualmente y analizar redes de agua potable y aguas  servidas o residuales;IOC_4203-7;Describir y analiza el escurrimiento superficial, subsuperficial y subterráneo.;Alta
ICI_4220-3;Formular, resolver e implementar modelos matemáticos para respaldar las  decisiones de planificación y programación de la producción.;ING_1102-8;Interpretar las propiedades de las soluciones considerando la naturaleza de solutos  y solventes, resolviendo problemas de concentraciones físicas y químicas.;Ninguna
ICI_5000-1;Diseñar y aplicar las tecnologías de Inteligencia de Negocios (Business  Intelligence) y Minería de Datos (Data Mining) al mundo del Análisis de Negocios  (Business Analytics o BA).;ICA_3220-1;Comprender los fundamentos físicos de los fenómenos de transferencia  de calor.;Ninguna
ING_1201-2;Comprender el concepto de espacio vectorial.;ING_1102-10;Elaborar ensayos reconociendo e identificando los aportes y descubrimientos de  los principales científicos que han contribuido al desarrollo de la química, de  manera autónoma y rigurosa, fortaleciendo habilidades transversales como es la  expresión escrita.;Ninguna
ICE_5204-1;Understand the basics of different AI techniques, models and paradigms.;ING_2201-3;Reconocer los distintos tipos de problemas inferenciales y aplicar los métodos  estadísticos básicos más usados en el ámbito de la ingeniería.;Alta
ICI_3202-2;Aplicar metodologías que permiten resolver cuantitativamente estos modelos, con  un foco en problemas reales en la industria.;ICI_3101-1;Introducir al alumno en el campo de la optimización lineal y su uso en la  modelación y resolución de problemas reales.;Alta
ICI_5110-1;Entender y analizar las interacciones entre empresas que compiten en mercados  oligopólicos.;ICI_3204-2;Entender el comportamiento de los distintos agentes que participan en el mercado  y la interacción que estos tienen con la estructura y el desempeño del mismo.;Alta
ICE_4101-2;Sintetizar diversos circuitos análogos en base a ciertas especificaciones.;ICE_4104-4;Conocer la aplicación de las máquinas en centrales generadores, líneas  de transmisióny líneas de distribución de energía eléctrica.;Ninguna
ICC_3201-6;Diseñar e implementar un protocolo de red de capa aplicación.;ICC_3100-1;Describir los conceptos y reglas de los paradigmas de programación procedural,  orientada a objetos y funcional.;Ninguna
